とぼけた顔をしているが、その手は腰に伸びている。,少年虽然做出装糊涂的表情，但他的手却不自觉地伸向了腰际。,少年虽装傻，但手却不自觉伸向腰间。
「いちいちあなたに説明するのも手間ですから」,「我们没有那么多时间去把所有事都向您一一汇报」,
「お前……」,「你这家伙……」,
一瞬熱くなる。,我的大脑瞬间一热。,
都市を捨て、あいつを選べない。,我不能为了拯救她，而舍弃整个都市。,
噛みしめた奥歯が砕けそうになる。,被我紧紧咬住的牙齿，仿佛要碎掉了一样。,
「もう、細かいことは言わん」,「我不会再发那些无谓的牢骚了」,
「どういう心境の変化だ？」,「你的心境怎么突然就变化了？」,
都市よりティアを優先する覚悟がなければ、結局、俺は文句を言うだけの男だ。,如果没有将缇娅看得比整座都市更重要地觉悟的话，结果，我就只是个光会发牢骚的废物。,
考えるまでもなく答えは出ている。,应该得出怎样的答案，根本就无需思考。,
「何があった？」,「发生什么事了？」,
まさか、崩落か？,难道说，又是崩落吗？,
「すぐに牢獄へ向かう準備を」,「赶快去做准备，咱们要到牢狱去」,
言うなり立ち上がる。,刚说完，他便快速地站了起来。,
更に長い沈黙があった。,说完这句话后，场上便陷入了更长时间的沉默。,
「ともかく関所に向かうぞ」,「总而言之，咱们现在要赶去关所」,
戦闘に備えて武器を準備する。,想要战斗，就必须要准备好武器。,
対する俺は何者だ？　何のために戦う。,与他为敌的我又算什么？我要去为什么而战？,
強いて言えば、都市のためか。,硬要说的话，应该是为了这座都市吧。,
この都市を守るための研究が遅れないよう、戦う。,为了不让守护这座都市的研究被拖延，而要去与自己曾经的挚友兵戎相见。,
心からそう思うことができた。,心里由衷地想着，幸好没能和他们战斗。,
「私は無力な王だ」,「我是个没用的国王」,
リシアも決死の覚悟だ。,莉西亚也有了拼命的觉悟。,
奴に何ができるか知らないが、心意気は買おう。,虽然不知道她能做些什么，但还是赌一赌她的气魄吧。,
牢獄民はそれぞれ手に武器を持ち、明確な意思の下にそれを振るう。,牢狱的民众们各自手持着武器，向着一个明确的目标而做好了战斗的准备。,
目標の効率的な達成のため、人々は指揮官を戴いていた。,为了有效率地达成这一目标，每个人都遵照着指挥官的命令而行动。,
不蝕金鎖の頭──,不蚀金锁的头领――,
人々は彼の手足となり、関所へと挑んでくる。,每个人都成为了他的兄弟，争先恐后地涌向关所。,
悲鳴が上がるが、数は決して多くない。,人群中虽然发出了几声惨叫，但数量却十分稀少。,
関所側の戦法は単純だった、衛兵による入口の防衛と、バルコニーからの矢による攻撃。,关所一方的战法非常单纯。卫兵们分成两队，一队在正面守卫关所的入口，一队则从天台用弓箭展开攻击。,
矢が降れば楯を構え、剣技に優れた衛兵には正面からぶつからず、網や投げ縄などで動きを封じる。,他们用盾挡住射下的弓箭，不与那些剑术优秀的卫兵正面冲突，而是用网和绳子之类的东西，封锁住他们的行动。,
怒鳴りもしなければ、派手な身振りもない。,卫兵们既没有怒吼，也没有大幅度地挥动武器。,
腕組みをし、不敵な笑みと共にそう言うだけで、衛兵はたじろいだ。,吉克只是挽起胳膊，露出自信的笑容说了这一句话，卫兵就不自觉地后退了。,
その隙を逃さず、牢獄民が前進する。,而牢狱人则没有放过这个空隙，迅速地开始前进。,
援軍が来るまでは、何とか関所を守らねば。,在援军到来之前，必须要想尽办法守护住关所。,
当然のことではないか。,这不是理所当然的做法吗？,
指揮所であるバルコニーに急ぐ。,然后，急忙向身为指挥所的天台走去。,
「楯で防がれるなら、楯ごと燃やしてしまえばいい」,「既然他们用盾牌来防御，那么只要把那些盾牌点燃就好」,
「なければ、下層から運ばせろ」,「没有的话，就让人从下层运过来」,
「……しかし、それでは牢獄民の被害が……」,「……可是，这样做的话，牢狱人的损伤就会……」,
「しかし、それは関所を守った上での話です」,「但是，这也应该是在守护住关所的前提下再去谈论的事情」,
「下らない説教をさせないで下さい」,「希望你不要让我们做这些无聊的说教」,
「他に良い策がなければ、私の策を実行してくれ」,「如果没什么别的好计策的话，就按照我的说法去做吧」,
硬い表情でフィオネが伝令を飛ばす。,菲奥娜带着僵硬的表情，开始下达命令。,
「……いえ」,「……没什么」,
「黙っていろ！　戦場に立たぬ国王があるかっ！」,「都给我闭嘴！不敢站在战场上的懦夫，怎么配当一个国王！」,
リシアの顔に血が上る。,莉西亚的脸因为愤怒而涨得通红。,
リシアが言い捨てる。,莉西亚只撂下了这一句话。,
広場がざわつく。,广场上响起一片喧哗声。,
「牢獄では崩落も起こり、皆の絶望はいかばかりかと思う」,「我知道，在牢狱中发生的这些地震与崩落，让大家的内心都十分绝望」,
リシアが熱心に訴える。,莉西亚真诚地向底下的群众说道。,
「その分、食料や医薬品の援助については、最大限のものを王の名において約束する」,「相对的，我也会以国王的名义向大家保证，我们会给牢狱提供最大限度的食物和药品的援助」,
「また、望みがあれば武力に訴える前に、申し出てほしい」,「如果还有什么要求的话，在付诸武力之前，希望大家能先跟我说」,
奇跡が起きるかもしれない。,不过，也许会发生奇迹也说不定。,
「牢獄民の代表者よ、いれば顔を見せてくれ」,「牢狱的代表啊，如果你在的话，就出来与我相见吧」,
鈴の鳴るような透明な声。,那份清澈，有如铃声般悦耳。,
この声は……,这个声音是……,
広場を挟んで関所の向かいにある建物、,在广场旁边，距离关所不远处的一个建筑物的楼顶上，,
歓声が沸き起こる。,人群中响起一片欢呼声。,
「まやかしだ……」,「她是个冒牌货……」,
「口を慎みなさい、無力なる女王よ」,「无能的女王啊，请您注意自己的言辞」,
「疑うならば、ナダル神官長でもここに呼べばよい」,「如果有什么怀疑的话，就请把纳达尔神官长叫到这里来吧」,
混乱するのも仕方がない。,大脑中会产生混乱也是没办法的事。,
「関所を守る兵士たちよ、聞くがいい！」,「那些守卫关所的士兵啊，你们给我听好了！」,
全ての視線が彼女に注がれた。,全部的视线都集中到了她的身上。,
それも、聖教会の仕組みの外で。,而且，现在的她已经不受圣教会的控制。,
「それは……」,「原因就是……」,
その先にあるのは王城だ。,王城就矗立在她的手指所对准的方向上。,
リシアの顔が強張る。,莉西亚的表情变得僵硬起来。,
「囚われた天使様は、王家や貴族たちの欲望を満たすために、御力を奪われています」,「那些王室和贵族的成员，为了满足他们无穷的欲望，而将力量从被囚禁的天使大人身上夺走了」,
兵士たちがざわつく。,士兵们开始交头接耳地讨论着。,
「その意味がわかるか！」,「你们明白这件事所代表的意义吗！」,
「天使様をお救いできるのは、牢獄民だけだからだ」,「那是因为，能够拯救天使大人的，就只有我们这些牢狱的子民」,
「今こそ、その罪を悔い改めさせるときです」,「现在，正是让她为自己的罪孽付出代价的最好机会」,
「彼に従い、天使様を虐げる悪逆の徒を打ち倒すのです」,「希望诸位能够跟随他，打倒那些虐待天使大人的大逆不道之徒」,
